ano,classe,num_px,porc_rel
1985,15,32071173,33.46581184870968
1985,21,23480458,24.50152320744645
1985,3,15708848,16.391958957284768
1985,20,11972073,12.492687512770962
1985,41,3870014,4.038304441682639
1985,11,2444156,2.550441944387093
1985,9,2348878,2.451020709581576
1985,33,1038254,1.0834032486173866
1985,24,826616,0.8625620125317212
1985,47,518423,0.540967010344262
1985,25,447911,0.46738874349770115
1985,39,430916,0.44965470326260215
1985,4,301863,0.31498973742204717
1985,12,176483,0.18415749472262302
1985,48,100666,0.10504353599920428
1985,46,94597,0.09871062101321924
1985,30,774,0.000807657966576442
1985,29,492,0.0005133949865059554
1985,31,51,5.321777299147099e-05
1986,15,32886118,34.31619533911231
1986,21,22291878,23.261256920736592
1986,3,15200614,15.861624023195603
1986,20,12614676,13.16323458292073
1986,41,2644672,2.7596775320176383
1986,11,2436453,2.542403973693891
1986,9,2375464,2.4787628215963067
1986,39,2079705,2.170142521161317
1986,33,1058928,1.104976272908086
1986,24,864820,0.9024273419310577
1986,47,465188,0.48541704671287067
1986,25,294787,0.3076060322909168
1986,4,263080,0.27452022977639584
1986,12,122331,0.12765065466313014
1986,48,119550,0.12474872080647757
1986,46,112888,0.11779701877374857
1986,30,952,0.000993398429174125
1986,29,490,0.0005113080150160938
1986,31,52,5.426125873640179e-05
1987,15,33069164,34.50720123077892
1987,21,20571376,21.465937609611654
1987,3,14845968,15.491555977698873
1987,20,13237188,13.812816980969094
1987,39,3693792,3.8544192967394433
1987,9,2494890,2.603382150170413
1987,11,2427449,2.5330084280465344
1987,41,2274404,2.3733081522135993
1987,33,1077030,1.1238654518628235
1987,24,897500,0.9365284560753963
1987,47,430341,0.449054698959267
1987,4,252500,0.2634801505950279
1987,25,252135,0.2630992782981282
1987,46,115014,0.12001546946747146
1987,12,100082,0.10443414032416469
1987,48,92217,0.09622712494028392
1987,30,1073,0.0011196602043107523
1987,29,472,0.0004925252716073393
1987,31,51,5.321777299147099e-05
1988,15,32959972,34.39326093531843
1988,21,19179692,20.013735194163377
1988,3,14421994,15.04914515247758
1988,20,13758681,14.356987492550294
1988,39,4948212,5.1633886848955415
1988,9,2767179,2.8875118401718765
1988,11,2366794,2.4697158001877564
1988,41,2179667,2.27445144319609
1988,33,1080475,1.12746026025411
1988,24,947983,0.989206746936738
1988,47,475496,0.49617329777161745
1988,4,243058,0.25362755819139127
1988,25,218645,0.22815294070039557
1988,46,108530,0.11324950789734012
1988,48,90868,0.09481946267037226
1988,12,83686,0.08732514805027923
1988,30,1186,0.001237574093487933
1988,29,476,0.0004966992145870625
1988,31,52,5.426125873640179e-05
1989,15,32549970,33.96542969292531
1989,21,18566260,19.373627646678983
1989,20,14429714,15.057200862428447
1989,3,14155861,14.771439160721911
1989,39,4757814,4.964711086032207
1989,9,2893753,3.019590004850748
1989,41,2874917,2.999934907359231
1989,11,2313497,2.4141011404401795
1989,33,1081092,1.1281040909587323
1989,24,995026,1.0382954468355179
1989,47,488854,0.510112180352403
1989,4,237285,0.24760351498590577
1989,25,207742,0.21677581562341502
1989,46,108550,0.11327037761223874
1989,48,95407,0.09955584446661317
1989,12,75044,0.07830734424258723
1989,30,1325,0.0013826186120333148
1989,29,479,0.0004998296718218549
1989,31,56,5.8435201716125e-05
1990,15,31964130,33.35411400411505
1990,21,17629042,18.395654023786427
1990,20,14921463,15.570333934012423
1990,3,13965507,14.572807475231354
1990,39,5784058,6.035582070852974
1990,9,3014423,3.145507429691548
1990,41,2961526,3.0903101642419433
1990,11,2241774,2.3392592123565077
1990,33,1090385,1.1378012039863745
1990,24,1046091,1.0915810464004094
1990,47,519574,0.5421680624366774
1990,4,235627,0.24587341562081047
1990,25,196776,0.20533295094450382
1990,46,101975,0.10640945883931871
1990,48,88397,0.09224100939464824
1990,12,69913,0.07295321888534728
1990,30,1504,0.0015694025603759285
1990,29,479,0.0004998296718218549
1990,31,2,2.0869714898616073e-06
1991,15,31363602,32.727471596683245
1991,21,17206245,17.954471381286915
1991,20,15493389,16.16713056216772
1991,3,13622567,14.214954473864783
1991,39,5658257,5.904310520654935
1991,41,3654350,3.8132621319878823
1991,9,3288700,3.4317115693539337
1991,11,2166137,2.2603330810671762
1991,33,1106910,1.1550448059213558
1991,24,1097829,1.1455689118716392
1991,47,526379,0.5492689829309315
1991,4,224305,0.2340590700167039
1991,25,185923,0.1940080001547698
1991,46,98189,0.10245882180901068
1991,48,71218,0.07431496778248198
1991,12,66449,0.06933858426490697
1991,30,1718,0.0017927085097911206
1991,29,479,0.0004998296718218549
1992,15,30931353,32.27642592692265
1992,21,17262615,18.013292672728664
1992,20,16255723,16.962615224043798
1992,3,13440871,14.025357287953835
1992,39,5067086,5.287432009338446
1992,41,3913287,4.08345920032303
1992,9,3394212,3.5418118372730727
1992,11,2114247,2.206186605762717
1992,24,1142930,1.1926311624537633
1992,33,1107864,1.1560402913220198
1992,47,577950,0.6030825862827579
1992,4,214814,0.22415534681156563
1992,25,178306,0.1860597692356319
1992,46,98374,0.10265186667182287
1992,48,67122,0.07004085017124541
1992,12,63597,0.06636256292036433
1992,30,1819,0.0018981005700291318
1992,29,476,0.0004966992145870625
1993,15,30411030,31.733476293663017
1993,20,17637189,18.404155302150375
1993,21,17168958,17.91556292831568
1993,3,13255793,13.832231033253533
1993,41,4480145,4.674967442723015
1993,39,3659012,3.81812686253075
1993,9,3514673,3.6675111735931827
1993,11,2074841,2.165067006497974
1993,24,1190949,1.2427383044395957
1993,33,1105690,1.1537717533125402
1993,47,716617,0.7477796240750777
